True Label,antelope,badger,bat,bear,bee,beetle,bison,boar,butterfly,cat,caterpillar,chimpanzee,cockroach,cow,coyote,crab,crow,deer,dog,dolphin,donkey,dragonfly,duck,eagle,elephant,flamingo,fly,fox,goat,goldfish,goose,gorilla,grasshopper,hamster,hare,hedgehog,hippopotamus,hornbill,horse,hummingbird,hyena,jellyfish,kangaroo,koala,ladybugs,leopard,lion,lizard,lobster,mosquito,moth,mouse,octopus,okapi,orangutan,otter,owl,ox,oyster,panda,parrot,pelecaniformes,penguin,pig,pigeon,porcupine,possum,raccoon,rat,reindeer,rhinoceros,sandpiper,seahorse,seal,shark,sheep,snake,sparrow,squid,squirrel,starfish,swan,tiger,turkey,turtle,unknown,whale,wolf,wombat,woodpecker,zebra,Total
donkey,1,1,0,1,0,0,0,2,1,0,1,0,0,1,4,0,2,0,0,0,8,0,0,0,0,0,0,0,1,0,1,2,1,0,2,0,1,1,0,1,0,0,1,2,0,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,1,0,1,2,2,0,1,1,1,2,3,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,60
dragonfly,1,0,1,0,0,1,1,1,1,0,7,0,0,0,0,1,1,1,1,0,1,9,0,1,1,0,1,0,0,1,3,0,2,1,1,0,1,1,0,1,1,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,60
duck,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,3,1,0,1,1,8,0,0,2,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,1,1,0,0,0,2,1,0,0,0,2,1,0,2,0,2,0,1,1,0,1,1,2,0,2,0,0,1,2,0,0,0,0,1,0,0,0,0,3,2,0,0,60
eagle,0,1,2,0,0,0,0,0,1,1,0,0,0,1,1,0,1,4,0,1,2,0,0,10,0,0,1,1,2,0,0,0,2,0,0,1,1,1,0,0,0,0,0,4,1,0,0,0,1,1,0,0,3,0,2,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,60
elephant,0,0,0,2,0,0,0,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,10,0,1,4,0,0,0,2,0,1,0,1,4,0,1,0,0,0,1,2,0,1,1,1,0,0,2,2,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,60
flamingo,2,3,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,8,1,3,0,1,2,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,2,4,0,1,0,1,0,2,0,0,2,0,0,0,0,2,1,0,0,3,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,60
fly,0,0,2,0,0,4,0,0,0,0,2,0,0,1,2,1,2,0,0,1,0,1,3,0,0,0,8,0,3,2,1,0,3,0,0,0,0,0,0,3,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,2,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,60
fox,1,0,1,0,1,0,1,0,0,0,0,0,1,2,2,1,0,1,0,0,5,1,0,1,0,0,1,6,0,0,0,3,0,1,1,0,1,0,0,0,2,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,3,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,3,1,0,0,0,0,0,0,0,3,1,0,60
goat,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,4,1,0,0,1,1,0,0,8,0,1,1,0,0,0,0,2,0,1,1,0,0,2,1,1,0,1,1,0,0,1,0,0,2,0,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,60
goldfish,0,1,2,0,0,2,2,0,1,0,0,2,1,2,1,1,0,0,0,0,1,0,2,0,0,0,0,0,2,9,1,0,0,3,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,3,0,1,0,0,0,1,0,0,0,1,0,0,60
goose,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,2,2,6,1,0,2,0,0,2,2,1,0,0,0,3,2,0,0,0,2,0,0,0,1,0,0,0,1,2,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,3,0,1,0,1,1,0,0,0,0,1,4,1,1,60
